AT SMY  174.1031 52.7308
TA V26A  -103.786 35.7964
TA W12A  -114.8701 35.301
TA W13A  -113.8854 35.099
TA W14A  -113.0834 35.2127
TA W15A  -112.2666 35.1787
TA W16A  -111.5318 35.0951
TA W17A  -110.7127 35.0789
TA W18A  -109.7357 35.1181
TA W19A  -109.3879 35.1118
TA W20A  -108.5001 35.1259
TA W21A  -107.6476 35.117
TA W22A  -106.8674 35.0719
TA W23A  -106.1503 35.1605
TA W24A  -105.4075 35.2106
TA W25A  -104.4606 35.2177
TA W26A  -103.7656 35.0891
TA W27A  -103.0627 35.0637
TA X13A  -113.8302 34.5935
TA X14A  -112.8906 34.4692
TA X15A  -112.2368 34.4866
TA X16A  -111.4411 34.4178
TA X17A  -110.8058 34.3371
TA X18A  -109.9501 34.5293
TA X19A  -109.2901 34.4275
TA X20A  -108.498 34.5421
TA X21A  -107.7857 34.4457
TA X22A  -107.0102 34.5058
TA X23A  -106.1881 34.581
TA X24A  -105.4349 34.5646
TA X25A  -104.6621 34.5271
TA X26A  -103.8103 34.5508
TA X27A  -103.0974 34.6469
TA Y12C  -114.5238 33.7503
TA Y13A  -113.8287 33.8142
TA Y14A  -113.0048 33.9383
TA Y15A  -112.3331 33.9535
TA Y16A  -111.4783 33.8798
TA Y17A  -110.8444 33.6953
TA Y18A  -110.0341 33.7776
TA Y19A  -109.2541 33.9571
TA Y20A  -108.3769 33.9085
TA Y21A  -107.674 34.0087
TA Y22A  -106.9652 33.937
TA Y22C  -106.9211 34.0741
TA Y22D  -106.921 34.0739
TA Y23A  -106.0549 33.9315
TA Y24A  -105.4361 33.9257
TA Y25A  -104.6928 33.9229
TA Y26A  -103.8246 33.9232
TA Y27A  -103.1633 33.8839
TA Z13A  -113.6568 33.1999
TA Z14A  -112.9458 33.3627
TA Z15A  -112.1581 33.2893
TA Z16A  -111.4273 33.341
TA Z17A  -110.4723 33.2969
TA Z18A  -110.0362 33.0851
TA Z19A  -109.2657 33.2921
TA Z20A  -108.5922 33.1132
TA Z21A  -107.6712 33.3086
TA Z22A  -106.9639 33.2555
TA Z23A  -106.2319 33.2621
TA Z24A  -105.3649 33.3298
TA Z25A  -104.7171 33.2797
TA Z26A  -103.9798 33.2716
TA Z27A  -103.2145 33.315
US AAM  -83.6567 42.3012
US ACSO  -82.982 40.2319
US AGMN  -95.8619 48.2977
US AMTX  -101.6808 34.8837
US BINY  -75.9861 42.1993
US BLA  -80.42049 37.2113
US BMO  -117.306 44.8525
US BOZ  -111.6297 45.59697
US BRAL  -87.0506 31.1687
US BW06  -109.5583 42.7667
US CBKS  -99.7374 38.814
US CBN  -77.3732 38.2046
US CNNC  -77.8901 35.2393
US COWI  -89.1369 46.1003
US DGMT  -104.1959 48.4702
US DUG  -112.8133 40.195
US ECSD  -96.6141 43.7337
US EGAK  -141.1581 64.7774
US EGMT  -109.7547 48.024
US ERPA  -79.9891 42.1175
US EYMN  -91.4953 47.9462
US GLMI  -84.6175 44.8245
US GOGA  -83.4666 33.4112
US HAWA  -119.5327 46.3925
US HDIL  -89.294 40.5559
US HLID  -114.4138 43.5625
US ISCO  -105.6134 39.7997
US JCT  -99.8022 30.4794
US JFWS  -90.2481 42.9142
US KSU1  -96.6094 39.1009
US KVTX  -97.8929 27.5459
US LAO  -106.2231 46.6885
US LBNH  -71.9259 44.2401
US LONY  -74.5829 44.6197
US LRAL  -86.9978 33.0348
US LTX  -103.6669 29.3339
US MCWV  -79.8456 39.6581
US MIAR  -93.5765 34.5454
US MNTX  -105.3821 31.6985
US MSO  -113.9406 46.8292
US MVCO  -108.4986 37.2103
US NATX  -94.661 31.7598
US NEW  -117.1227 48.2642
US NHSC  -80.1778 33.1067
US NLWA  -123.8691 47.3917
US OGNE  -102.033 40.9451
US OXF  -89.4092 34.5118
US PKME  -69.2917 45.2644
US RLMT  -109.2673 45.1221
US SCIA  -93.2153 41.9069
US SDCO  -105.5012 37.7456
US TPNV  -116.2495 36.9488
US TZTN  -83.549 36.5439
US VBMS  -90.51767 32.21851
US WMOK  -98.7807 34.7379
US WRAK  -132.3466 56.4191
US WUAZ  -111.3739 35.5169
US WVOR  -118.6367 42.4339
XA ALP0  -123.4074 44.3377
XA ALS0  -123.5952 44.4104
XA BWO0  -123.5665 44.612
XA MAP0  -123.8298 44.0035
XA TOL0  -123.9997 44.6764
XA YAC0  -124.0932 44.2982
XA YAC1  -124.0884 44.2975
XE SNP11  -119.312 36.6992
XE SNP12  -119.0399 36.9126
XE SNP14  -118.7742 37.1396
XE SNP15  -118.5994 37.2781
XE SNP16  -118.2554 37.3502
XE SNP21  -119.5131 36.8202
XE SNP22  -119.3602 37.0105
XE SNP23  -119.2141 37.1234
XE SNP24  -118.9725 37.2801
XE SNP25  -118.7045 37.3593
XE SNP26  -118.4875 37.5718
XE SNP27  -118.3516 37.6599
XE SNP28  -118.1573 37.8964
XE SNP34  -119.0627 37.3909
XE SNP36  -118.6468 37.6832
XE SNP37  -118.5456 37.8168
XE SNP38  -118.3528 38.0514
XE SNP42  -119.5783 37.2463
XE SNP43  -119.4845 37.4129
XE SNP44  -119.2791 37.5003
XE SNP45  -119.0827 37.6826
XE SNP46  -118.9018 37.7834
XE SNP47  -118.7292 37.98
XE SNP48  -118.5585 38.1693
XE SNP51  -120.0581 37.2529
XE SNP52  -119.8147 37.3426
XE SNP53  -119.6748 37.5138
XE SNP54  -119.5125 37.7358
XE SNP55  -119.3325 37.8796
XE SNP56  -119.1693 37.9739
XE SNP57  -118.9667 38.1434
XE SNP62  -120.0046 37.5882
XE SNP63  -119.8067 37.7227
XE SNP64  -119.6469 37.8652
XE SNP65  -119.5108 38.0002
XE SNP66  -119.3412 38.18
XE SNP67  -119.1479 38.2827
XE SNP71  -120.4038 37.642
XE SNP73  -120.1116 37.8233
XE SNP74  -119.9318 37.9854
XE SNP75  -119.6966 38.1282
XE SNP76  -119.5137 38.3617
XE SNP84  -120.1465 38.1562
XE SNP85  -119.9537 38.2848
XE SNP86  -119.8069 38.4927
XE SNP87  -119.6114 38.6816
XE SNP93  -120.6046 38.1526
XE SNP95  -120.2526 38.3331
XE SNP96  -120.0422 38.4751
XE SNP97  -119.8058 38.809
XE SNP98  -119.4167 38.9177
XE SNPA3  -120.7091 38.3823
XE SNPA4  -120.535 38.5018
XE SNPA5  -120.3256 38.642
XE SNPA7  -119.8949 39.0081
XE SNPB3  -120.9911 38.5619
XE SNPB5  -120.5452 38.8341
XE SNPB6  -120.2653 38.8837
XE SNPB7  -120.1548 39.0516
XE SNPB9  -119.5914 39.3597
XE SNPC3  -121.1962 38.7028
XE SNPC4  -120.9501 38.8484
XE SNPC5  -120.7534 39.0278
XE SNPC6  -120.4657 39.0889
XE SNPC7  -120.388 39.3147
XE SNPD4  -121.1699 39.0373
XE SNPD5  -120.9313 39.1942
XE SNPD7  -120.5758 39.6248
XE SNPD8  -120.2246 39.6502
XE SNPD9  -120.0095 39.8259
XE SNPE4  -121.3469 39.2362
XE SNPE5  -121.1626 39.3837
XE SNPE6  -120.8459 39.4782
XE SNPE7  -120.7136 39.8043
XE SNPE9  -120.1875 40.025
XE SNPF6  -121.0913 39.6818
XE SNPF8  -120.6412 40.0112
XE SNPF9  -120.3973 40.1808
XE SNPG5  -121.527 39.719
XE SNPG7  -121.1723 40.1095
XE YOS01  -119.7832 37.7511
XE YOS02  -119.758 37.7731
XE YOS03  -119.7324 37.789
XE YOS04  -119.7103 37.82
XE YOS05  -119.6895 37.8389
