SDCO  -105.5012 37.7456
SDP  -120.5014 34.56547
SDR  -116.9424 32.73561
SFIN  -87.0967 40.379
SHO  -116.2753 35.89953
SMM  -119.9958 35.3142
SMY  174.1031 52.7308
SNCC  -119.5244 33.24787
SNP11  -119.312 36.6992
SNP12  -119.0399 36.9126
SNP14  -118.7742 37.1396
SNP15  -118.5994 37.2781
SNP16  -118.2554 37.3502
SNP21  -119.5131 36.8202
SNP22  -119.3602 37.0105
SNP23  -119.2141 37.1234
SNP24  -118.9725 37.2801
SNP25  -118.7045 37.3593
SNP26  -118.4875 37.5718
SNP27  -118.3516 37.6599
SNP28  -118.1573 37.8964
SNP34  -119.0627 37.3909
SNP36  -118.6468 37.6832
SNP37  -118.5456 37.8168
SNP38  -118.3528 38.0514
SNP42  -119.5783 37.2463
SNP43  -119.4845 37.4129
SNP44  -119.2791 37.5003
SNP45  -119.0827 37.6826
SNP46  -118.9018 37.7834
SNP47  -118.7292 37.98
SNP48  -118.5585 38.1693
SNP51  -120.0581 37.2529
SNP52  -119.8147 37.3426
SNP53  -119.6748 37.5138
SNP54  -119.5125 37.7358
SNP55  -119.3325 37.8796
SNP56  -119.1693 37.9739
SNP57  -118.9667 38.1434
SNP62  -120.0046 37.5882
SNP63  -119.8067 37.7227
SNP64  -119.6469 37.8652
SNP65  -119.5108 38.0002
SNP66  -119.3412 38.18
SNP67  -119.1479 38.2827
SNP71  -120.4038 37.642
SNP73  -120.1116 37.8233
SNP74  -119.9318 37.9854
SNP75  -119.6966 38.1282
SNP76  -119.5137 38.3617
SNP84  -120.1465 38.1562
SNP85  -119.9537 38.2848
SNP86  -119.8069 38.4927
SNP87  -119.6114 38.6816
SNP93  -120.6046 38.1526
SNP95  -120.2526 38.3331
SNP96  -120.0422 38.4751
SNP97  -119.8058 38.809
SNP98  -119.4167 38.9177
SNPA3  -120.7091 38.3823
SNPA4  -120.535 38.5018
SNPA5  -120.3256 38.642
SNPA7  -119.8949 39.0081
SNPB3  -120.9911 38.5619
SNPB5  -120.5452 38.8341
SNPB6  -120.2653 38.8837
SNPB7  -120.1548 39.0516
SNPB9  -119.5914 39.3597
SNPC3  -121.1962 38.7028
SNPC4  -120.9501 38.8484
SNPC5  -120.7534 39.0278
SNPC6  -120.4657 39.0889
SNPC7  -120.388 39.3147
SNPD4  -121.1699 39.0373
SNPD5  -120.9313 39.1942
SNPD7  -120.5758 39.6248
SNPD8  -120.2246 39.6502
SNPD9  -120.0095 39.8259
SNPE4  -121.3469 39.2362
SNPE5  -121.1626 39.3837
SNPE6  -120.8459 39.4782
SNPE7  -120.7136 39.8043
SNPE9  -120.1875 40.025
SNPF6  -121.0913 39.6818
SNPF8  -120.6412 40.0112
SNPF9  -120.3973 40.1808
SNPG5  -121.527 39.719
SNPG7  -121.1723 40.1095
SPMN  -92.8037 45.2246
SSPA  -77.8876 40.6358
SUTB  -121.7861 39.2291
SWS  -115.7999 32.94508
T05C  -120.6737 36.8953
T06C  -119.7089 37.0069
T11A  -115.2202 37.2408
T12A  -114.7147 36.7256
T13A  -113.9073 37.0195
T14A  -113.084 37.0615
T15A  -112.3824 37.0183
T16A  -111.506 36.9839
T17A  -110.8041 36.9969
T18A  -109.8741 37.1364
T19A  -109.0249 36.8299
T21A  -107.5342 36.9914
T22A  -106.903 37.0138
T23A  -106.0372 37.0361
T24A  -105.0521 37.0738
T25A  -104.4108 37.1388
TIN  -118.2301 37.05422
TOL0  -123.9997 44.6764
TPNV  -116.2495 36.9488
TUC  -110.7847 32.3098
TUQ  -115.9239 35.43584
TZTN  -83.549 36.5439
U04C  -120.7828 36.3627
U05C  -120.1205 36.3356
U10A  -116.3297 36.4193
U11A  -115.3835 36.423
U12A  -114.5388 36.4321
U13A  -113.9653 36.4151
U14A  -113.1805 36.4182
U15A  -112.2915 36.428
U16A  -111.1297 36.1428
U17A  -110.6624 36.5996
U18A  -109.8696 36.4199
U19A  -109.2076 36.2925
U20A  -108.5204 36.3758
U21A  -107.6578 36.4277
U22A  -106.8546 36.3773
U23A  -106.1919 36.3289
U24A  -105.2784 36.4093
U25A  -104.4081 36.3998
U26A  -103.7439 36.3945
V03C  -121.2356 36.0214
V04C  -120.8699 35.636
V05C  -119.9028 35.8667
V11A  -115.4305 35.8384
V12A  -114.8511 35.7266
V13A  -113.984 35.8522
V14A  -113.1053 35.6339
V15A  -112.1731 35.8191
V17A  -110.7938 35.6218
V18A  -109.9327 35.7113
V19A  -109.0456 35.7147
V20A  -108.4662 35.7992
V21A  -107.6378 35.8054
V22A  -106.9094 35.9138
V23A  -106.1833 35.7452
V24A  -105.2716 35.7259
V25A  -104.6164 35.8383
V26A  -103.786 35.7964
VBMS  -90.51767 32.21851
VES  -119.0847 35.84089
W01  -115.95 44.921
W02  -116.14 44.932
W03  -116.399 44.991
W04  -116.664 45.045
W05  -116.836 45.128
W06  -117.034 45.164
W07  -117.375 45.25
W08  -117.359 45.427
W09  -117.807 45.504
W10  -117.681 45.64
W11  -117.548 45.805
W12  -117.464 45.953
W12A  -114.8701 35.301
W13  -117.379 46.122
W13A  -113.8854 35.099
W14  -117.499 46.269
W14A  -113.0834 35.2127
W15  -117.548 46.375
W15A  -112.2666 35.1787
W16  -117.644 46.512
W16A  -111.5318 35.0951
W17  -117.719 46.62
W17A  -110.7127 35.0789
W18  -117.1916 45.009
W18A  -109.7357 35.1181
W19  -117.506 44.8448
W19A  -109.3879 35.1118
W20  -117.924 44.538
W20A  -108.5001 35.1259
W21  -117.3839 46.724
W21A  -107.6476 35.117
W22  -118.0727 46.7893
W22A  -106.8674 35.0719
W23  -117.7597 46.9657
W23A  -106.1503 35.1605
W24  -118.0822 45.541
W24A  -105.4075 35.2106
W25  -118.4009 45.6604
W25A  -104.4606 35.2177
W26  -119.0871 46.0184
W26A  -103.7656 35.0891
W27  -119.3958 46.1716
W27A  -103.0627 35.0637
W28  -117.0982 45.5303
W29  -116.8515 45.6501
W30  -116.3647 45.8019
